Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210618|2100.00C,$SPX,"2,100.00",+50.41%,"2,132.20","2,134.05","2,135.90","2,136.23",477.46,+28.78%,3,3,1.00,222.48%,Call,4,06/18/21,06/10/21,12.18%,7.33%
$SPX|20210618|2125.00C,$SPX,"2,125.00",+49.82%,"2,107.20","2,109.00","2,110.80",0.00,0.00,unch,0,10,0.00,214.89%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2150.00C,$SPX,"2,150.00",+49.23%,"2,082.20","2,084.00","2,085.80",549.20,549.20,unch,0,53,0.00,211.43%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2175.00C,$SPX,"2,175.00",+48.64%,"2,057.20","2,059.00","2,060.80",740.93,740.93,unch,0,1,0.00,208.00%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2200.00C,$SPX,"2,200.00",+48.05%,"2,032.20","2,034.00","2,035.80","1,958.88",790.54,+67.66%,2,216,0.01,204.61%,Call,4,06/18/21,04/15/21,12.18%,7.33%
$SPX|20210618|2225.00C,$SPX,"2,225.00",+47.46%,"2,007.20","2,009.00","2,010.80",432.20,432.20,unch,0,6,0.00,201.26%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2250.00C,$SPX,"2,250.00",+46.87%,"1,982.20","1,984.05","1,985.90","1,340.40",216.92,+19.31%,5,87,0.06,201.70%,Call,4,06/18/21,09/03/20,12.18%,7.33%
$SPX|20210618|2275.00C,$SPX,"2,275.00",+46.28%,"1,957.20","1,958.95","1,960.70",514.77,514.77,unch,0,7,0.00,190.18%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2300.00C,$SPX,"2,300.00",+45.69%,"1,932.20","1,933.95","1,935.70","1,844.75",418.89,+29.38%,3,"1,052",0.00,187.00%,Call,4,06/18/21,05/20/21,12.18%,7.33%
$SPX|20210618|2325.00C,$SPX,"2,325.00",+45.10%,"1,907.20","1,908.90","1,910.60",427.66,427.66,unch,0,133,0.00,178.17%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2350.00C,$SPX,"2,350.00",+44.51%,"1,882.20","1,884.05","1,885.90","1,629.15",379.85,+30.41%,33,303,0.11,188.58%,Call,4,06/18/21,03/31/21,12.18%,7.33%
$SPX|20210618|2375.00C,$SPX,"2,375.00",+43.92%,"1,857.20","1,858.95","1,860.70",434.83,434.83,unch,0,24,0.00,177.66%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2400.00C,$SPX,"2,400.00",+43.32%,"1,832.20","1,833.95","1,835.70","1,509.06",-2.24,-0.15%,48,"1,723",0.03,174.61%,Call,4,06/18/21,03/22/21,12.18%,7.33%
