Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
"2,940.00",+30.91%,"1,311.70","1,313.75","1,315.80",0.00,0.00,unch,0,0,0.00,58.04%,Call,N/A
"2,950.00",+30.67%,"1,301.70","1,303.75","1,305.80","1,232.90",53.53,+4.54%,5,10,0.50,57.56%,Call,04/30/21
"2,960.00",+30.44%,"1,291.70","1,293.75","1,295.80",0.00,0.00,unch,0,0,0.00,57.09%,Call,N/A
"2,970.00",+30.20%,"1,281.80","1,283.85","1,285.90",0.00,0.00,unch,0,0,0.00,56.85%,Call,N/A
"2,975.00",+30.08%,"1,276.80","1,278.85","1,280.90",0.00,0.00,unch,0,0,0.00,56.62%,Call,N/A
"2,980.00",+29.97%,"1,271.80","1,273.85","1,275.90",0.00,0.00,unch,0,0,0.00,56.38%,Call,N/A
"2,990.00",+29.73%,"1,261.80","1,263.85","1,265.90",0.00,0.00,unch,0,0,0.00,55.91%,Call,N/A
"3,000.00",+29.50%,"1,251.90","1,253.95","1,256.00","1,222.20",20.20,+1.68%,178,"25,098",0.01,55.67%,Call,06/07/21
"3,010.00",+29.26%,"1,241.90","1,243.95","1,246.00",0.00,0.00,unch,0,0,0.00,55.20%,Call,N/A
"3,020.00",+29.03%,"1,231.90","1,233.95","1,236.00",0.00,0.00,unch,0,0,0.00,54.73%,Call,N/A
"3,025.00",+28.91%,"1,227.00","1,229.05","1,231.10","1,141.60","1,141.60",unch,1,6,0.17,54.72%,Call,04/15/21
"3,030.00",+28.79%,"1,222.00","1,224.05","1,226.10",0.00,0.00,unch,0,0,0.00,54.48%,Call,N/A
"3,040.00",+28.56%,"1,212.00","1,214.05","1,216.10",0.00,0.00,unch,0,0,0.00,54.02%,Call,N/A
"3,050.00",+28.32%,"1,202.00","1,204.05","1,206.10",0.00,0.00,unch,0,0,0.00,53.55%,Call,N/A
"3,060.00",+28.09%,"1,192.10","1,194.15","1,196.20",0.00,0.00,unch,0,0,0.00,53.30%,Call,N/A
"3,070.00",+27.85%,"1,182.10","1,184.15","1,186.20",0.00,0.00,unch,0,1,0.00,52.83%,Call,N/A
"3,075.00",+27.73%,"1,177.10","1,179.15","1,181.20",0.00,0.00,unch,0,0,0.00,52.60%,Call,N/A
"3,080.00",+27.62%,"1,172.20","1,174.25","1,176.30",0.00,0.00,unch,0,0,0.00,52.57%,Call,N/A
"3,090.00",+27.38%,"1,162.20","1,164.25","1,166.30",0.00,0.00,unch,0,1,0.00,52.11%,Call,N/A
"3,100.00",+27.15%,"1,152.20","1,154.25","1,156.30","1,023.47","1,023.47",unch,7,7,1.00,51.65%,Call,04/12/21
"3,110.00",+26.91%,"1,142.30","1,144.35","1,146.40","1,123.43","1,123.43",unch,1,1,1.00,51.38%,Call,06/09/21
"3,120.00",+26.68%,"1,132.30","1,134.35","1,136.40",0.00,0.00,unch,0,0,0.00,50.92%,Call,N/A
"3,125.00",+26.56%,"1,127.30","1,129.35","1,131.40",0.00,0.00,unch,0,0,0.00,50.69%,Call,N/A
"3,130.00",+26.44%,"1,122.40","1,124.45","1,126.50",0.00,0.00,unch,0,0,0.00,50.65%,Call,N/A
"3,140.00",+26.21%,"1,112.40","1,114.45","1,116.50",0.00,0.00,unch,0,0,0.00,50.19%,Call,N/A
"3,150.00",+25.97%,"1,102.40","1,104.45","1,106.50",0.00,0.00,unch,0,0,0.00,49.73%,Call,N/A
"3,160.00",+25.74%,"1,092.50","1,094.55","1,096.60",0.00,0.00,unch,0,0,0.00,49.45%,Call,N/A
"3,170.00",+25.50%,"1,082.50","1,084.55","1,086.60",0.00,0.00,unch,0,1,0.00,48.99%,Call,N/A
"3,175.00",+25.38%,"1,077.50","1,079.55","1,081.60",805.52,805.52,unch,0,1,0.00,48.76%,Call,03/11/21
"3,180.00",+25.27%,"1,072.60","1,074.65","1,076.70","1,053.88","1,053.88",unch,1,1,1.00,48.71%,Call,06/09/21
"3,190.00",+25.03%,"1,062.60","1,064.65","1,066.70",0.00,0.00,unch,0,1,0.00,48.25%,Call,N/A
"3,200.00",+24.80%,"1,052.70","1,054.75","1,056.80",995.51,47.12,+4.97%,1,1,1.00,47.97%,Call,05/26/21
"3,210.00",+24.56%,"1,042.70","1,044.75","1,046.80",0.00,0.00,unch,0,1,0.00,47.51%,Call,N/A
"3,220.00",+24.33%,"1,032.80","1,034.85","1,036.90",932.30,932.30,unch,1,1,1.00,47.22%,Call,04/15/21
"3,225.00",+24.21%,"1,027.80","1,029.85","1,031.90",881.00,-58.22,-6.20%,75,194,0.39,46.99%,Call,05/19/21
"3,230.00",+24.09%,"1,022.80","1,024.85","1,026.90",0.00,0.00,unch,0,1,0.00,46.76%,Call,N/A
"3,240.00",+23.86%,"1,012.90","1,014.95","1,017.00",0.00,0.00,unch,0,0,0.00,46.47%,Call,N/A
"3,250.00",+23.62%,"1,002.90","1,004.95","1,007.00",0.00,0.00,unch,0,0,0.00,46.01%,Call,N/A
"3,260.00",+23.39%,993.00,995.05,997.10,0.00,0.00,unch,0,1,0.00,45.72%,Call,N/A
"3,270.00",+23.15%,983.00,985.05,987.10,0.00,0.00,unch,0,0,0.00,45.26%,Call,N/A
"3,275.00",+23.03%,978.00,980.05,982.10,806.63,806.63,unch,1,1,1.00,45.04%,Call,04/06/21
"3,280.00",+22.92%,973.10,975.15,977.20,679.38,679.38,unch,0,17,0.00,44.96%,Call,02/08/21
"3,290.00",+22.68%,963.10,965.15,967.20,0.00,0.00,unch,0,0,0.00,44.51%,Call,N/A
"3,300.00",+22.45%,953.20,955.25,957.30,907.15,20.40,+2.30%,1,2,0.50,44.20%,Call,05/03/21
"3,310.00",+22.21%,943.20,945.25,947.30,0.00,0.00,unch,0,0,0.00,43.75%,Call,N/A
"3,320.00",+21.98%,933.30,935.35,937.40,0.00,0.00,unch,0,0,0.00,43.44%,Call,N/A
"3,325.00",+21.86%,928.30,930.35,932.40,646.69,646.69,unch,0,1,0.00,43.21%,Call,03/12/21
"3,330.00",+21.74%,923.30,925.35,927.40,0.00,0.00,unch,0,0,0.00,42.99%,Call,N/A
"3,340.00",+21.51%,913.40,915.45,917.50,584.62,9.05,+1.57%,0,2,0.00,42.68%,Call,02/25/21
"3,350.00",+21.27%,903.50,905.55,907.60,835.38,27.78,+3.44%,1,5,0.20,42.36%,Call,05/18/21
"3,360.00",+21.04%,893.50,895.55,897.60,0.00,0.00,unch,0,0,0.00,41.91%,Call,N/A
"3,370.00",+20.80%,883.60,885.65,887.70,0.00,0.00,unch,0,0,0.00,41.59%,Call,N/A
"3,375.00",+20.68%,878.60,880.65,882.70,0.00,0.00,unch,0,0,0.00,41.36%,Call,N/A
"3,380.00",+20.57%,873.60,875.65,877.70,0.00,0.00,unch,0,0,0.00,41.14%,Call,N/A
"3,390.00",+20.33%,863.70,865.75,867.80,0.00,0.00,unch,0,0,0.00,40.82%,Call,N/A
"3,400.00",+20.10%,853.80,855.85,857.90,796.86,-4.72,-0.59%,1,3,0.33,40.49%,Call,05/26/21
"3,410.00",+19.86%,843.90,845.95,848.00,0.00,0.00,unch,0,0,0.00,40.17%,Call,N/A
"3,420.00",+19.63%,833.90,835.95,838.00,0.00,0.00,unch,0,0,0.00,39.71%,Call,N/A
"3,425.00",+19.51%,829.00,831.05,833.10,507.69,507.69,unch,0,1,0.00,39.61%,Call,02/26/21
"3,430.00",+19.39%,824.00,826.05,828.10,0.00,0.00,unch,0,0,0.00,39.38%,Call,N/A
"3,440.00",+19.16%,814.10,816.15,818.20,0.00,0.00,unch,0,0,0.00,39.05%,Call,N/A
"3,450.00",+18.92%,804.10,806.15,808.20,664.35,-45.46,-6.40%,75,164,0.46,38.60%,Call,05/19/21
"3,460.00",+18.69%,794.20,796.25,798.30,0.00,0.00,unch,0,0,0.00,38.26%,Call,N/A
"3,470.00",+18.45%,784.30,786.35,788.40,0.00,0.00,unch,0,0,0.00,37.93%,Call,N/A
"3,475.00",+18.33%,779.30,781.35,783.40,0.00,0.00,unch,0,0,0.00,37.70%,Call,N/A
"3,480.00",+18.22%,774.40,776.45,778.50,0.00,0.00,unch,0,0,0.00,37.59%,Call,N/A
"3,490.00",+17.98%,764.50,766.55,768.60,0.00,0.00,unch,0,0,0.00,37.24%,Call,N/A
"3,500.00",+17.75%,754.60,756.65,758.70,700.50,-7.00,-0.99%,1,21,0.05,36.90%,Call,05/26/21
"3,510.00",+17.51%,744.60,746.65,748.70,699.07,699.07,unch,10,10,1.00,36.45%,Call,06/01/21
"3,520.00",+17.28%,734.70,736.75,738.80,689.22,7.63,+1.12%,10,10,1.00,36.10%,Call,06/01/21
"3,525.00",+17.16%,729.80,731.85,733.90,0.00,0.00,unch,0,0,0.00,35.97%,Call,N/A
"3,530.00",+17.04%,724.80,726.85,728.90,680.59,680.59,unch,1,2,0.50,35.75%,Call,06/01/21
"3,540.00",+16.81%,714.90,716.95,719.00,0.00,0.00,unch,0,0,0.00,35.40%,Call,N/A
"3,550.00",+16.57%,705.00,707.05,709.10,652.56,39.55,+6.45%,3,42,0.07,35.04%,Call,05/26/21
"3,560.00",+16.34%,695.10,697.15,699.20,0.00,0.00,unch,0,0,0.00,34.68%,Call,N/A
"3,570.00",+16.10%,685.20,687.25,689.30,379.66,379.66,unch,0,11,0.00,34.33%,Call,03/03/21
"3,575.00",+15.98%,680.30,682.35,684.40,596.16,156.23,+35.51%,20,41,0.49,34.19%,Call,05/18/21
"3,580.00",+15.87%,675.30,677.35,679.40,438.18,2.11,+0.48%,0,5,0.00,33.96%,Call,02/18/21
"3,590.00",+15.63%,665.50,667.55,669.60,612.25,612.25,unch,1,28,0.04,33.69%,Call,04/30/21
"3,600.00",+15.40%,655.60,657.65,659.70,611.50,4.11,+0.68%,1,45,0.02,33.33%,Call,06/01/21
"3,610.00",+15.16%,645.70,647.75,649.80,0.00,0.00,unch,0,0,0.00,32.96%,Call,N/A
"3,620.00",+14.93%,635.80,637.85,639.90,0.00,0.00,unch,0,0,0.00,32.59%,Call,N/A
"3,625.00",+14.81%,630.90,632.95,635.00,556.74,162.05,+41.06%,15,39,0.38,32.44%,Call,05/18/21
"3,630.00",+14.69%,625.90,627.95,630.00,574.77,574.77,unch,1,2,0.50,32.21%,Call,06/03/21
"3,640.00",+14.46%,616.10,618.15,620.20,368.65,-20.81,-5.34%,0,2,0.00,31.92%,Call,03/10/21
"3,650.00",+14.22%,606.20,608.25,610.30,603.83,40.43,+7.18%,1,138,0.01,31.54%,Call,06/14/21
"3,660.00",+13.99%,596.40,598.45,600.50,333.57,333.57,unch,0,1,0.00,31.24%,Call,02/25/21
"3,670.00",+13.75%,586.50,588.55,590.60,322.58,322.58,unch,0,1,0.00,30.86%,Call,02/03/21
"3,675.00",+13.63%,581.60,583.65,585.70,535.68,112.78,+26.67%,1,4,0.25,30.71%,Call,04/30/21
"3,680.00",+13.52%,576.70,578.75,580.80,289.05,289.05,unch,0,1,0.00,30.55%,Call,01/29/21
"3,690.00",+13.28%,566.80,568.85,570.90,516.72,172.02,+49.90%,1,31,0.03,30.16%,Call,06/03/21
"3,700.00",+13.05%,557.00,559.05,561.10,540.90,3.00,+0.56%,33,325,0.10,29.85%,Call,06/14/21
"3,710.00",+12.81%,547.10,549.15,551.20,458.14,115.70,+33.79%,2,22,0.09,29.45%,Call,04/21/21
"3,720.00",+12.58%,537.30,539.35,541.40,462.76,66.49,+16.78%,1,34,0.03,29.13%,Call,05/06/21
"3,725.00",+12.46%,532.40,534.45,536.50,446.98,49.52,+12.46%,2,64,0.03,28.96%,Call,04/20/21
"3,730.00",+12.34%,527.50,529.55,531.60,310.90,19.32,+6.63%,0,138,0.00,28.80%,Call,03/17/21
"3,740.00",+12.11%,517.70,519.75,521.80,417.99,-27.06,-6.08%,1,37,0.03,28.46%,Call,05/11/21
"3,750.00",+11.87%,509.10,509.85,510.60,492.90,2.80,+0.57%,15,"1,061",0.01,28.06%,Call,06/14/21
"3,760.00",+11.64%,499.40,500.20,501.00,450.58,-8.69,-1.89%,1,59,0.02,27.81%,Call,05/26/21
"3,770.00",+11.40%,489.70,490.45,491.20,476.29,120.01,+33.68%,1,37,0.03,27.50%,Call,05/07/21
"3,775.00",+11.28%,484.80,485.55,486.30,377.13,-23.43,-5.85%,1,94,0.01,27.32%,Call,05/12/21
"3,780.00",+11.17%,479.90,480.65,481.40,430.93,-24.64,-5.41%,1,99,0.01,27.14%,Call,05/26/21
"3,790.00",+10.93%,470.20,470.95,471.70,282.97,24.29,+9.39%,1,156,0.01,26.85%,Call,04/01/21
"3,800.00",+10.70%,460.30,461.05,461.80,443.33,14.56,+3.40%,4,713,0.01,26.42%,Call,06/14/21
"3,810.00",+10.46%,450.70,451.45,452.20,358.99,86.80,+31.89%,2,389,0.01,26.17%,Call,05/12/21
"3,820.00",+10.23%,441.00,441.75,442.50,406.62,-4.42,-1.08%,3,118,0.03,25.86%,Call,06/02/21
"3,825.00",+10.11%,436.10,436.80,437.50,399.94,4.00,+1.01%,1,812,0.00,25.64%,Call,05/28/21
"3,830.00",+9.99%,431.20,431.95,432.70,386.29,-5.78,-1.47%,2,468,0.00,25.48%,Call,05/26/21
"3,840.00",+9.76%,421.50,422.25,423.00,388.00,63.28,+19.49%,250,418,0.60,25.15%,Call,05/27/21
"3,850.00",+9.52%,411.90,412.65,413.40,401.90,12.17,+3.12%,1,"1,259",0.00,24.87%,Call,06/10/21
